symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
USDCHF,1,SELL,2015.10.09 00:01,0.96475,2015.10.19 00:02,0.95501,0.18,974.0,160.30,,10.0
USDCHF,0,SELL,2015.12.03 00:00,1.01825,2016.02.11 10:36,0.96825,0.18,5000.0,808.75,tp 0.96825,70.4
USDCHF,0,SELL,2015.12.31 00:00,0.98820,2016.02.17 00:00,0.98862,0.18,-42.0,-14.35,,48.0
USDCHF,0,SELL,2015.12.23 00:01,0.98559,2016.02.17 00:00,0.98862,0.18,-303.0,-58.65,,56.0
USDCHF,1,SELL,2015.12.14 00:02,0.98307,2016.02.17 00:00,0.98862,0.19,-555.0,-106.99,,65.0
USDCHF,1,SELL,2015.12.09 00:01,0.99197,2016.02.17 00:00,0.98862,0.18,335.0,43.20,,70.0
USDCHF,1,SELL,2015.12.04 00:00,0.99272,2016.02.17 00:00,0.98862,0.18,410.0,54.94,,75.0
USDCHF,0,SELL,2016.02.25 00:00,0.98868,2016.02.26 00:00,0.99040,0.19,-172.0,-30.11,,1.0
USDCHF,1,SELL,2016.04.19 00:01,0.96357,2016.05.20 00:00,0.99051,0.19,-2694.0,-466.34,,31.0
USDCHF,0,SELL,2016.03.30 00:00,0.96603,2016.05.20 00:00,0.99051,0.19,-2448.0,-427.70,,51.0
USDCHF,1,SELL,2016.03.29 00:00,0.97341,2016.05.20 00:00,0.99051,0.19,-1710.0,-301.67,,52.0
USDCHF,1,SELL,2016.03.11 00:00,0.98464,2016.05.20 00:00,0.99051,0.19,-587.0,-112.36,,70.0
USDCHF,0,SELL,2016.03.11 00:00,0.98464,2016.05.20 00:00,0.99051,0.19,-587.0,-112.36,,70.0
USDCHF,0,SELL,2016.07.07 00:01,0.97436,2016.07.11 00:01,0.98287,0.18,-851.0,-141.55,,4.0
USDCHF,1,SELL,2016.07.01 00:03,0.97593,2016.07.11 00:01,0.98287,0.18,-694.0,-116.51,,10.0
USDCHF,0,SELL,2016.06.02 00:00,0.98673,2016.07.11 00:01,0.98287,0.18,386.0,57.87,,39.0
USDCHF,1,SELL,2016.09.07 00:00,0.96942,2016.09.12 00:00,0.97462,0.17,-520.0,-81.48,,5.0
USDCHF,0,SELL,2016.09.07 00:00,0.96942,2016.09.12 00:00,0.97462,0.17,-520.0,-81.48,,5.0
USDCHF,1,SELL,2016.09.15 00:00,0.97247,2016.09.19 00:02,0.98044,0.17,-797.0,-123.98,,4.0
USDCHF,0,SELL,2016.09.15 00:00,0.97247,2016.09.19 00:02,0.98044,0.17,-797.0,-123.98,,4.0
USDCHF,1,SELL,2016.09.22 00:00,0.97355,2016.10.04 00:00,0.97241,0.17,114.0,16.17,,12.0
USDCHF,0,SELL,2016.09.22 00:00,0.97355,2016.10.04 00:00,0.97241,0.17,114.0,16.17,,12.0
USDCHF,1,SELL,2016.11.02 00:00,0.97492,2016.11.09 00:00,0.97792,0.17,-300.0,-48.43,,7.0
USDCHF,0,SELL,2016.10.31 00:00,0.98734,2016.11.09 00:00,0.97792,0.17,942.0,147.14,,9.0
USDCHF,1,SELL,2017.01.27 00:00,0.99858,2017.02.08 00:00,0.99817,0.17,41.0,4.94,,12.0
USDCHF,1,SELL,2017.01.18 00:00,1.00147,2017.02.08 00:00,0.99817,0.17,330.0,49.31,,21.0
USDCHF,1,SELL,2017.01.12 00:00,1.01386,2017.02.08 00:00,0.99817,0.17,1569.0,246.37,,27.0
USDCHF,0,SELL,2016.12.30 00:00,1.02302,2017.02.08 00:00,0.99817,0.17,2485.0,390.46,,40.0
USDCHF,1,SELL,2017.03.14 00:00,1.00716,2017.04.06 00:00,1.00481,0.17,235.0,33.28,,23.0
USDCHF,1,SELL,2017.03.06 00:00,1.00799,2017.04.06 00:00,1.00481,0.17,318.0,45.17,,31.0
USDCHF,0,SELL,2017.03.06 00:00,1.00799,2017.04.06 00:00,1.00481,0.17,318.0,45.17,,31.0
USDCHF,1,SELL,2017.02.17 00:00,0.99689,2017.04.06 00:00,1.00481,0.17,-792.0,-133.29,,48.0
USDCHF,0,SELL,2017.02.17 00:00,0.99689,2017.04.06 00:00,1.00481,0.17,-792.0,-133.29,,48.0
USDCHF,1,SELL,2017.04.13 00:00,1.00211,2017.04.14 00:00,1.00615,0.17,-404.0,-64.46,,1.0
USDCHF,0,SELL,2017.04.13 00:00,1.00211,2017.04.14 00:00,1.00615,0.17,-404.0,-64.46,,1.0
USDCHF,1,SELL,2017.05.05 00:00,0.98585,2017.05.10 00:00,1.00742,0.18,-2157.0,-354.93,,5.0
USDCHF,0,SELL,2017.05.05 00:00,0.98585,2017.05.10 00:00,1.00742,0.18,-2157.0,-354.93,,5.0
USDCHF,1,SELL,2017.05.03 00:00,0.99110,2017.05.10 00:00,1.00742,0.18,-1632.0,-269.33,,7.0
USDCHF,0,SELL,2017.05.03 00:00,0.99110,2017.05.10 00:00,1.00742,0.18,-1632.0,-269.33,,7.0
USDCHF,1,SELL,2017.04.18 00:00,1.00408,2017.05.10 00:00,1.00742,0.17,-334.0,-55.33,,22.0
USDCHF,1,SELL,2017.05.15 00:02,0.99976,2017.07.20 17:45,0.94966,0.17,5010.0,759.11,tp 0.94976,66.7
USDCHF,0,SELL,2017.05.16 00:00,0.99651,2017.07.21 19:04,0.94649,0.17,5002.0,759.85,tp 0.94651,66.8
USDCHF,1,SELL,2017.08.17 00:06,0.96569,2017.10.03 00:00,0.97484,0.19,-915.0,-159.53,,47.0
USDCHF,0,SELL,2017.08.17 00:06,0.96569,2017.10.03 00:00,0.97484,0.19,-915.0,-159.53,,47.0
USDCHF,0,SELL,2017.06.23 00:03,0.97156,2017.10.03 00:00,0.97484,0.17,-328.0,-63.87,,102.0
USDCHF,1,SELL,2017.06.22 00:04,0.97225,2017.10.03 00:00,0.97484,0.17,-259.0,-53.77,,103.0
USDCHF,0,SELL,2017.05.31 00:00,0.97449,2017.10.03 00:00,0.97484,0.17,-35.0,-24.28,,125.0
USDCHF,1,SELL,2017.11.23 00:00,0.98177,2018.01.04 00:00,0.97724,0.19,453.0,66.50,,42.0
USDCHF,0,SELL,2017.11.22 00:00,0.99142,2018.01.04 00:00,0.97724,0.18,1418.0,210.44,,43.0
USDCHF,1,SELL,2017.11.15 00:00,0.98928,2018.01.04 00:00,0.97724,0.18,1204.0,176.58,,50.0
USDCHF,0,SELL,2017.11.10 00:00,0.99371,2018.01.04 00:00,0.97724,0.18,1647.0,244.03,,55.0
USDCHF,1,SELL,2017.10.20 00:00,0.97602,2018.01.04 00:00,0.97724,0.18,-122.0,-30.34,,76.0
USDCHF,0,SELL,2017.10.20 00:00,0.97602,2018.01.04 00:00,0.97724,0.18,-122.0,-30.34,,76.0
USDCHF,1,SELL,2018.01.11 00:00,0.97783,2018.02.01 17:36,0.92783,0.19,5000.0,818.52,tp 0.92783,21.7
USDCHF,0,SELL,2018.03.22 00:00,0.94896,2018.04.18 00:00,0.96629,0.19,-1733.0,-279.40,,27.0
USDCHF,1,SELL,2018.03.20 00:00,0.95129,2018.04.18 00:00,0.96629,0.19,-1500.0,-243.02,,29.0
USDCHF,0,SELL,2018.03.14 00:00,0.94344,2018.04.18 00:00,0.96629,0.20,-2285.0,-388.18,,35.0
USDCHF,1,SELL,2018.03.13 00:00,0.94751,2018.04.18 00:00,0.96629,0.20,-1878.0,-320.27,,36.0
USDCHF,1,SELL,2018.03.02 00:00,0.94168,2018.04.18 00:00,0.96629,0.19,-2461.0,-398.32,,47.0
USDCHF,0,SELL,2018.02.14 00:00,0.93469,2018.04.18 00:00,0.96629,0.20,-3160.0,-539.34,,63.0
USDCHF,0,SELL,2018.08.09 00:00,0.99306,2018.10.04 00:01,0.99230,0.18,76.0,3.07,,56.0
USDCHF,0,SELL,2018.06.14 00:00,0.98523,2018.10.04 00:01,0.99230,0.18,-707.0,-129.45,,112.0
USDCHF,1,SELL,2018.06.06 00:00,0.98407,2018.10.04 00:01,0.99230,0.18,-823.0,-149.35,,120.0
USDCHF,1,SELL,2018.05.30 00:01,0.99118,2018.10.04 00:01,0.99230,0.18,-112.0,-38.08,,127.0
USDCHF,1,SELL,2018.05.23 00:00,0.99258,2018.10.04 00:01,0.99230,0.18,28.0,-17.04,,134.0
USDCHF,0,SELL,2018.05.17 00:00,1.00108,2018.10.04 00:01,0.99230,0.18,878.0,116.70,,140.0
USDCHF,0,SELL,2018.10.12 00:00,0.98926,2018.10.17 00:01,0.99066,0.18,-140.0,-22.46,,5.0
USDCHF,1,SELL,2018.12.07 00:00,0.99242,2018.12.11 00:00,0.99041,0.17,201.0,30.08,,4.0
USDCHF,0,SELL,2018.12.07 00:00,0.99242,2018.12.11 00:00,0.99041,0.17,201.0,30.08,,4.0
USDCHF,1,SELL,2018.11.29 00:00,0.99358,2018.12.11 00:00,0.99041,0.17,317.0,46.41,,12.0
USDCHF,0,SELL,2018.11.29 00:00,0.99358,2018.12.11 00:00,0.99041,0.17,317.0,46.41,,12.0
USDCHF,0,SELL,2018.11.07 00:01,1.00220,2018.12.11 00:00,0.99041,0.18,1179.0,183.27,,34.0
USDCHF,1,SELL,2018.12.21 00:00,0.98784,2018.12.24 00:00,0.99591,0.18,-807.0,-128.44,,3.0
USDCHF,0,SELL,2018.12.21 00:00,0.98784,2018.12.24 00:00,0.99591,0.18,-807.0,-128.44,,3.0
USDCHF,1,SELL,2018.12.18 00:00,0.99312,2018.12.24 00:00,0.99591,0.18,-279.0,-45.31,,6.0
USDCHF,0,SELL,2018.12.18 00:00,0.99312,2018.12.24 00:00,0.99591,0.18,-279.0,-45.31,,6.0
USDCHF,1,SELL,2018.12.26 06:00,0.98583,2018.12.27 00:00,0.99591,0.17,-1008.0,-152.16,,0.8
USDCHF,0,SELL,2018.12.26 06:00,0.98583,2018.12.27 00:00,0.99591,0.17,-1008.0,-152.16,,0.8
USDCHF,1,SELL,2018.12.28 00:00,0.98773,2019.01.03 00:00,0.99019,0.17,-246.0,-38.14,,6.0
USDCHF,0,SELL,2018.12.28 00:00,0.98773,2019.01.03 00:00,0.99019,0.17,-246.0,-38.14,,6.0
USDCHF,1,SELL,2019.01.15 00:00,0.98082,2019.01.17 00:00,0.99049,0.17,-967.0,-146.28,,2.0
USDCHF,0,SELL,2019.01.15 00:00,0.98082,2019.01.17 00:00,0.99049,0.17,-967.0,-146.28,,2.0
USDCHF,1,SELL,2019.01.04 00:00,0.98665,2019.01.17 00:00,0.99049,0.17,-384.0,-59.80,,13.0
USDCHF,0,SELL,2019.01.04 00:00,0.98665,2019.01.17 00:00,0.99049,0.17,-384.0,-59.80,,13.0
USDCHF,0,SELL,2019.03.14 00:00,1.00350,2019.04.02 00:00,0.99918,0.16,432.0,59.40,,19.0
USDCHF,1,SELL,2019.03.01 00:00,0.99780,2019.04.02 00:00,0.99918,0.17,-138.0,-25.48,,32.0
USDCHF,1,SELL,2019.02.27 00:00,1.00002,2019.04.02 00:00,0.99918,0.17,84.0,7.65,,34.0
USDCHF,1,SELL,2019.01.29 00:00,0.99183,2019.04.02 00:00,0.99918,0.17,-735.0,-121.15,,63.0
USDCHF,0,SELL,2019.01.28 00:02,0.99278,2019.04.02 00:00,0.99918,0.17,-640.0,-106.87,,64.0
USDCHF,0,SELL,2019.05.02 00:00,1.01770,2019.08.13 14:00,0.96770,0.17,5000.0,767.78,tp 0.96770,103.6
USDCHF,0,SELL,2019.09.05 00:00,0.98073,2019.09.19 00:00,0.99750,0.18,-1677.0,-276.64,,14.0
USDCHF,1,SELL,2019.05.24 00:00,1.00333,2019.09.19 00:00,0.99750,0.17,583.0,71.92,,118.0
USDCHF,1,SELL,2019.05.21 00:00,1.00844,2019.09.19 00:00,0.99750,0.17,1094.0,150.12,,121.0
USDCHF,1,SELL,2019.05.10 00:00,1.01506,2019.09.19 00:00,0.99750,0.17,1756.0,251.06,,132.0
USDCHF,0,SELL,2019.05.10 00:00,1.01506,2019.09.19 00:00,0.99750,0.17,1756.0,251.06,,132.0
USDCHF,0,SELL,2019.05.06 00:02,1.01572,2019.09.19 00:00,0.99750,0.17,1822.0,260.36,,136.0
USDCHF,0,SELL,2019.09.23 00:05,0.99181,2019.10.01 00:00,0.99782,0.17,-601.0,-95.19,,8.0
USDCHF,1,SELL,2019.09.20 00:00,0.99261,2019.10.01 00:00,0.99782,0.17,-521.0,-82.85,,11.0
