symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
EURUSD,0,SELL,2019.09.17 00:00,1.09998,2019.09.23 10:30,1.09847,2.11,151.0,278.58,tp 1.09848,6.4
EURUSD,3,SELL,2019.09.26 00:00,1.09415,2019.09.26 13:09,1.09295,1.91,120.0,209.71,tp 1.09295,0.5
EURUSD,3,SELL,2019.10.23 00:00,1.11242,2019.10.23 12:46,1.11120,5.00,122.0,548.96,tp 1.11122,0.5
EURUSD,3,SELL,2019.11.05 00:00,1.11269,2019.11.05 05:33,1.11149,5.00,120.0,539.82,tp 1.11149,0.2
EURUSD,0,SELL,2019.11.06 00:00,1.10742,2019.11.07 04:46,1.10592,4.01,150.0,533.02,tp 1.10592,1.2
EURUSD,3,SELL,2019.11.22 00:00,1.10580,2019.11.22 16:46,1.10460,4.03,120.0,437.81,tp 1.10460,0.7
EURUSD,3,SELL,2019.10.09 00:00,1.09560,2019.12.30 03:43,1.11944,2.13,-2384.0,-4693.77,sl 1.11944,82.2
EURUSD,3,SELL,2019.12.09 00:01,1.10574,2019.12.30 03:43,1.11944,4.39,-1370.0,-5455.58,sl 1.11944,21.2
EURUSD,3,SELL,2020.01.03 00:00,1.11722,2020.01.03 09:20,1.11601,5.00,121.0,542.11,tp 1.11602,0.4
EURUSD,3,SELL,2020.01.08 00:00,1.11529,2020.01.08 10:13,1.11407,5.00,122.0,547.54,tp 1.11409,0.4
EURUSD,0,SELL,2020.01.09 00:00,1.11053,2020.01.10 12:51,1.10903,5.00,150.0,671.77,tp 1.10903,1.5
EURUSD,0,SELL,2020.01.17 00:00,1.11352,2020.01.17 12:29,1.11202,5.00,150.0,674.45,tp 1.11202,0.5
EURUSD,3,SELL,2020.01.24 00:00,1.10542,2020.01.24 11:42,1.10422,4.93,120.0,535.76,tp 1.10422,0.5
EURUSD,3,SELL,2020.02.05 00:00,1.10436,2020.02.05 11:35,1.10314,5.00,122.0,552.97,tp 1.10316,0.5
EURUSD,0,SELL,2020.03.18 00:00,1.10061,2020.03.18 02:59,1.09911,4.98,150.0,679.64,tp 1.09911,0.1
EURUSD,1,BUY,2020.03.30 00:02,1.11251,2020.03.30 00:11,1.11116,5.00,-135.0,-607.47,sl 1.11129,0.0
EURUSD,0,SELL,2020.03.31 00:00,1.10414,2020.03.31 00:28,1.10252,5.00,162.0,734.68,tp 1.10264,0.0
EURUSD,3,SELL,2020.04.01 00:00,1.10299,2020.04.01 04:30,1.10179,5.00,120.0,544.57,tp 1.10179,0.2
EURUSD,3,SELL,2020.04.16 00:00,1.09076,2020.04.16 03:22,1.08956,3.28,120.0,361.25,tp 1.08956,0.1
EURUSD,0,SELL,2020.04.17 00:00,1.08386,2020.04.17 10:40,1.08236,2.41,150.0,333.99,tp 1.08236,0.4
EURUSD,3,SELL,2020.05.05 00:00,1.09054,2020.05.05 10:00,1.08933,3.55,121.0,394.32,tp 1.08934,0.4
EURUSD,0,SELL,2020.05.06 00:00,1.08397,2020.05.06 09:09,1.08247,2.63,150.0,364.44,tp 1.08247,0.4
EURUSD,3,SELL,2020.05.12 00:00,1.08038,2020.05.12 03:24,1.07917,2.34,121.0,262.37,tp 1.07918,0.1
EURUSD,3,SELL,2020.05.14 00:00,1.08167,2020.05.14 08:38,1.08045,2.49,122.0,281.16,tp 1.08047,0.4
EURUSD,3,SELL,2020.05.25 00:03,1.08953,2020.05.25 09:10,1.08832,3.81,121.0,423.60,tp 1.08833,0.4
EURUSD,5,BUY,2020.06.16 00:00,1.13237,2020.06.16 03:00,1.13388,2.43,151.0,323.61,tp 1.13387,0.1
EURUSD,4,BUY,2020.06.23 00:00,1.12613,2020.06.23 02:47,1.12763,3.33,150.0,442.96,tp 1.12763,0.1
EURUSD,5,BUY,2020.06.24 00:00,1.13084,2020.06.24 04:24,1.13234,2.70,150.0,357.67,tp 1.13234,0.2
EURUSD,5,BUY,2020.06.30 00:00,1.12414,2020.06.30 18:15,1.12565,3.69,151.0,494.99,tp 1.12564,0.8
EURUSD,5,BUY,2020.07.02 00:00,1.12515,2020.07.02 07:42,1.12666,3.51,151.0,470.43,tp 1.12665,0.3
EURUSD,5,BUY,2020.07.06 00:04,1.12483,2020.07.06 03:21,1.12633,3.60,150.0,479.43,tp 1.12633,0.1
EURUSD,4,BUY,2020.07.07 00:00,1.13092,2020.07.07 03:24,1.13242,2.76,150.0,365.59,tp 1.13242,0.1
EURUSD,5,BUY,2020.08.14 00:00,1.18132,2020.08.14 15:35,1.18282,0.99,150.0,125.55,tp 1.18282,0.6
EURUSD,4,BUY,2020.08.26 00:00,1.18350,2020.08.27 16:06,1.18501,1.04,151.0,130.67,tp 1.18500,1.7
EURUSD,5,BUY,2020.08.31 00:05,1.19050,2020.08.31 02:56,1.19200,0.96,150.0,120.81,tp 1.19200,0.1
EURUSD,4,BUY,2020.09.14 00:05,1.18381,2020.09.14 08:53,1.18531,1.11,150.0,140.47,tp 1.18531,0.4
EURUSD,5,BUY,2020.09.14 00:05,1.18381,2020.09.14 08:53,1.18531,1.11,150.0,140.47,tp 1.18531,0.4
EURUSD,4,BUY,2020.09.18 00:00,1.18481,2020.09.18 09:55,1.18631,1.12,150.0,141.62,tp 1.18631,0.4
EURUSD,5,BUY,2020.09.18 00:00,1.18481,2020.09.18 09:55,1.18631,1.12,150.0,141.62,tp 1.18631,0.4
EURUSD,5,BUY,2020.09.30 00:00,1.17436,2020.10.01 14:16,1.17586,1.39,150.0,174.83,tp 1.17586,1.6
EURUSD,4,BUY,2020.10.06 00:00,1.17834,2020.10.06 06:33,1.17984,1.31,150.0,166.55,tp 1.17984,0.3
EURUSD,4,BUY,2020.10.08 00:00,1.17634,2020.10.08 09:03,1.17785,1.39,151.0,178.20,tp 1.17784,0.4
EURUSD,4,BUY,2020.10.20 00:00,1.17696,2020.10.20 11:21,1.17846,1.41,150.0,179.47,tp 1.17846,0.5
EURUSD,5,BUY,2020.10.20 00:00,1.17696,2020.10.20 11:21,1.17846,1.41,150.0,179.47,tp 1.17846,0.5
