datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2013.01.01 00:00,1.32036,1.32192,1.31977,1.32053,1.31189,1.28572,1.27462,1.29468,1.31189,1.32112,1.32142,1.32054,0.6586,2.7074,3.6015,1.9965,0.6586,-0.0447,-0.0670,-0.0010,1,1,1,1,0,0,0,1,1.32103,1.28501,0.036018,-0.000489,2,1,1,1,0,1.3682,0.2015,0.2652,0.0296,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2013.01.02 00:00,1.32049,1.32992,1.31567,1.31888,1.31282,1.28582,1.27514,1.29538,1.31282,1.32077,1.32079,1.31968,0.4618,2.5713,3.4304,1.8139,0.4618,-0.1433,-0.1443,-0.0609,1,1,1,1,0,0,0,1,1.32041,1.28545,0.034968,-0.001050,2,1,1,1,0,1.3608,0.1960,0.1328,0.0322,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2013.01.03 00:00,1.31889,1.31889,1.30246,1.30366,1.31272,1.28591,1.27564,1.29590,1.31272,1.31915,1.31683,1.31436,-0.6900,1.3801,2.1966,0.5988,-0.6900,-1.1745,-1.0004,-0.8138,1,1,1,0,0,0,0,0,1.31678,1.28582,0.030964,-0.004004,0,1,1,1,0,1.3527,0.0353,0.2277,0.0456,0,0,0,-1,0,0,0,-1,0,0,1,1,1,0
2013.01.04 00:00,1.30364,1.30884,1.29975,1.30677,1.30977,1.28605,1.27624,1.29648,1.31260,1.31738,1.31390,1.30977,-0.2290,1.6113,2.3919,0.7940,-0.4442,-0.8051,-0.5424,-0.2290,1,1,1,0,0,0,0,0,1.31368,1.28626,0.027425,-0.003539,0,1,1,1,0,1.3441,0.0380,0.2794,0.0527,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2013.01.07 00:00,1.30779,1.31276,1.30165,1.31252,1.30765,1.28619,1.27687,1.29708,1.31285,1.31676,1.31247,1.30765,0.3724,2.0475,2.7917,1.1906,-0.0252,-0.3221,0.0037,0.3724,1,1,1,0,0,1,1,1,1.31229,1.28671,0.025582,-0.001842,0,1,0,1,0,1.3359,0.0408,0.3064,0.0550,0,0,0,0,0,1,1,1,0,0,1,1,1,0
2013.01.08 00:00,1.31253,1.31388,1.30569,1.30802,1.30910,1.28631,1.27752,1.29759,1.31341,1.31569,1.30997,1.30910,-0.0828,1.6882,2.3878,0.8036,-0.4104,-0.5832,-0.1489,-0.0828,1,1,1,0,0,0,0,0,1.31159,1.28714,0.024451,-0.001131,0,1,0,1,0,1.3282,0.0455,0.3157,0.0505,0,0,0,0,0,-1,-1,-1,0,0,1,1,1,0
2013.01.09 00:00,1.30804,1.30953,1.30364,1.30540,1.30727,1.28644,1.27815,1.29787,1.31399,1.31403,1.30727,1.30865,-0.1434,1.4739,2.1324,0.5805,-0.6538,-0.6568,-0.1434,-0.2481,1,1,1,0,0,0,0,0,1.30998,1.28748,0.022500,-0.001951,2,1,0,1,0,1.3209,0.0483,0.3268,0.0470,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2013.01.10 00:00,1.30538,1.32789,1.30383,1.32668,1.31188,1.28661,1.27897,1.29845,1.31548,1.31436,1.31188,1.31337,1.1283,3.1141,3.7301,2.1740,0.8516,0.9376,1.1283,1.0137,1,1,1,1,1,1,1,1,1.31320,1.28801,0.025187,0.002687,0,0,0,1,0,1.3144,0.0545,0.0241,0.0429,0,0,0,1,1,1,1,1,1,0,0,1,1,0
2013.01.11 00:00,1.32669,1.33644,1.32481,1.33416,1.31563,1.28687,1.27982,1.29902,1.31699,1.31563,1.31736,1.32208,1.4088,3.6747,4.2459,2.7055,1.3034,1.4088,1.2756,0.9137,1,1,1,1,1,1,1,1,1.31835,1.28857,0.029785,0.004597,2,0,1,1,0,1.3088,0.2633,0.0903,0.0419,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2013.01.14 00:00,1.33621,1.34031,1.33357,1.33765,1.31743,1.28715,1.28068,1.29957,1.31839,1.31743,1.32238,1.33283,1.5350,3.9233,4.4485,2.9306,1.4610,1.5350,1.1546,0.3616,1,1,1,1,1,1,1,1,1.32421,1.28913,0.035081,0.005296,2,0,1,1,0,1.3044,0.2980,0.2699,0.0418,0,0,0,0,0,0,0,0,1,1,0,1,1,0
