datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,cluPct,velPct,accPct,volPct,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2018.11.27 00:00,1.28031,1.28197,1.27254,1.27415,1.28900,1.34160,1.30541,1.29661,1.28900,1.28230,1.28015,1.27848,-1.1524,-5.0274,-2.3948,-1.7325,-1.1524,-0.6356,-0.4685,-0.3387,0,0,0,0,0,0,0,0,1.28031,1.31454,-0.034232,-0.002205,-6,0,0,0,1,1.1381,-0.1639,0.0311,0.0416,0.349,0.274,0.337,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.11.28 00:00,1.27396,1.28470,1.27321,1.28236,1.28915,1.34140,1.30506,1.29626,1.28915,1.28064,1.28108,1.27910,-0.5265,-4.4012,-1.7393,-1.0723,-0.5265,0.1342,0.1001,0.2546,0,0,0,0,1,1,1,0,1.28027,1.31424,-0.033965,0.000267,-4,0,0,0,1,1.1291,-0.1088,0.3393,0.0456,0.341,0.187,0.837,0.488,0,0,0,0,1,1,1,0,0,1,0,0,0,0
2018.11.29 00:00,1.28238,1.28498,1.27554,1.27840,1.28950,1.34116,1.30467,1.29587,1.28950,1.28077,1.27924,1.27830,-0.8611,-4.6793,-2.0134,-1.3481,-0.8611,-0.1854,-0.0657,0.0076,0,0,0,0,0,0,1,0,1.27944,1.31390,-0.034458,-0.000494,-6,0,0,0,1,1.1452,-0.1502,0.3405,0.0514,0.361,0.242,0.837,0.579,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
2018.11.30 00:00,1.27850,1.28095,1.27349,1.27537,1.28945,1.34086,1.30421,1.29544,1.28945,1.28006,1.27822,1.27871,-1.0920,-4.8840,-2.2113,-1.5496,-1.0920,-0.3668,-0.2227,-0.2612,0,0,0,0,0,0,0,0,1.27900,1.31350,-0.034507,-0.000048,-4,0,0,0,1,1.1469,-0.1517,0.0785,0.0478,0.365,0.246,0.552,0.520,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
2018.12.03 00:00,1.27645,1.28248,1.26988,1.27236,1.28821,1.34057,1.30376,1.29511,1.28821,1.27879,1.27653,1.27538,-1.2303,-5.0880,-2.4082,-1.7564,-1.2303,-0.5026,-0.3265,-0.2365,0,0,0,0,0,0,0,0,1.27690,1.31314,-0.036247,-0.001740,-6,0,0,0,1,1.2059,-0.1569,0.0031,0.0494,0.417,0.262,0.056,0.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.12.04 00:00,1.27227,1.28397,1.26582,1.27152,1.28707,1.34027,1.30323,1.29478,1.28707,1.27807,1.27600,1.27308,-1.2080,-5.1298,-2.4335,-1.7962,-1.2080,-0.5129,-0.3513,-0.1228,0,0,0,0,0,0,0,0,1.27572,1.31276,-0.037041,-0.000794,-6,0,0,0,1,1.2334,-0.1668,0.0034,0.0505,0.448,0.294,0.060,0.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.12.05 00:00,1.27111,1.27981,1.26719,1.27328,1.28566,1.34000,1.30271,1.29454,1.28566,1.27763,1.27419,1.27239,-0.9629,-4.9791,-2.2592,-1.6419,-0.9629,-0.3406,-0.0711,0.0702,0,0,0,0,0,0,1,0,1.27473,1.31242,-0.037680,-0.000639,-6,0,0,0,1,1.2561,-0.2350,-0.0344,0.0461,0.464,0.452,0.369,0.484,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018.12.06 00:00,1.27320,1.28119,1.26993,1.27840,1.28420,1.33976,1.30222,1.29436,1.28420,1.27671,1.27419,1.27440,-0.4518,-4.5803,-1.8294,-1.2329,-0.4518,0.1321,0.3307,0.3139,0,0,0,0,1,1,1,0,1.27510,1.31212,-0.037016,0.000664,-4,0,0,0,1,1.2353,-0.3054,-0.0415,0.0472,0.448,0.619,0.405,0.492,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2018.12.07 00:00,1.27754,1.27901,1.27106,1.27337,1.28241,1.33948,1.30171,1.29419,1.28241,1.27600,1.27379,1.27502,-0.7052,-4.9355,-2.1768,-1.6085,-0.7052,-0.2062,-0.0327,-0.1291,0,0,0,0,0,0,0,0,1.27493,1.31179,-0.036856,0.000160,-4,0,0,0,1,1.2317,-0.2888,-0.0369,0.0530,0.437,0.571,0.393,0.615,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0
2018.12.10 00:00,1.27035,1.27594,1.25066,1.25599,1.28014,1.33916,1.30107,1.29388,1.28014,1.27352,1.27051,1.26925,-1.8864,-6.2105,-3.4650,-2.9287,-1.8864,-1.3765,-1.1430,-1.0450,0,0,0,0,0,0,0,0,1.27110,1.31137,-0.040276,-0.003420,-6,0,0,0,1,1.3484,-0.4119,-0.0119,0.0615,0.540,0.774,0.131,0.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
